label,node_idx,abstract,address,author,booktitle,carriedOutBy,carriesOut,chapter,dealtWithIn,edition,editor,fax,financedBy,finances,hasProject,head,homepage,howpublished,isAbout,isWorkedOnBy,isbn,journal,member,month,name,note,number,pages,phone,photo,projectInfo,publication,publishes,series,title,type,volume,worksAtProject,year,type,type,range,subClassOf,allValuesFrom,inverseOf,onProperty
0,5678,,,4.0,,1.0,,,4.0,,,1.0,,,2.0,,,,3.0,4.0,,,1.0,,,,,,,1.0,,2.0,3.0,,,,,,,,,,,,,
0,5724,,,1.0,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,1.0,,,,1.0,1.0,,,,,
0,5699,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,
0,5688,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
0,5702,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,
0,5714,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
0,5708,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,
0,5843,,,4.0,,,,,1.0,,,1.0,,,2.0,,1.0,,6.0,3.0,,,,,1.0,,,,1.0,,1.0,2.0,,,,,,1.0,,,,,,,,
0,5873,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,
0,5697,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,
0,5783,,,3.0,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,1.0,,,,1.0,1.0,,,,,
0,5701,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,
0,5845,,,4.0,,,1.0,,6.0,,,,,,2.0,,,,3.0,5.0,,,1.0,,,,,,,,,3.0,2.0,,,,,2.0,,,,,,,,
0,5778,,,4.0,,,,,,,,,,,,,1.0,,,,,,1.0,,1.0,,,,,,,3.0,1.0,,,1.0,,,,1.0,1.0,,,,,
1,5731,,,5.0,,,,,,,,,,,,,,,9.0,2.0,,,1.0,,,,,,,,1.0,7.0,,,,1.0,,1.0,,1.0,1.0,,,,,
1,5905,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,1.0,,,,1.0,1.0,,,,,
1,5808,,,3.0,,,1.0,,,,,1.0,,,,,1.0,,,,,,,,,,,,1.0,1.0,1.0,2.0,1.0,,,1.0,,1.0,,1.0,1.0,,,,,
1,5785,,,4.0,,,,,1.0,,,,,,1.0,,,,5.0,3.0,,,1.0,,,,,,,,1.0,3.0,4.0,,,1.0,,1.0,,1.0,1.0,,,,,
