label,node_idx,number_neighbors,prediction_explain,prediction_full,prediction_explain_binary,abstract,address,author,booktitle,carriedOutBy,carriesOut,chapter,dealtWithIn,edition,editor,fax,financedBy,finances,hasProject,head,homepage,howpublished,isAbout,isWorkedOnBy,isbn,journal,member,month,name,note,number,pages,phone,photo,projectInfo,publication,publishes,series,title,type,volume,worksAtProject,year,type,type,range,subClassOf,allValuesFrom,inverseOf,onProperty
[0],5678,1140,[0.4435194  0.19518936 0.29140848 0.06988279],[9.8646963e-01 5.4700294e-04 1.2982166e-02 1.1929498e-06],[0.4287234  0.17729272 0.28236577 0.11161815],,,48.0,,,,,,,4.0,,,,,,,,,26.0,,,8.0,,2.0,,,,,,,46.0,,,,804,,,,804,804,,,,,
[0],5724,1070,[0.2957094  0.24515146 0.23406924 0.22506988],[0.39725292 0.20592682 0.26314494 0.13367526],[0.27687928 0.26226825 0.21281205 0.24804042],,,2.0,,,,,,,,88.0,,,,,16.0,,,,,,,,2.0,,,,56.0,,,,,,,776,,,,776,776,,,,,
[0],5699,1064,[0.26652363 0.25171816 0.25077888 0.23097938],[0.26639837 0.256873   0.22420037 0.2525283 ],[0.25930703 0.25326306 0.26683432 0.2205956 ],,,,,,,,,,,32.0,,,,,8.0,,,,,,,,,,,,30.0,,,,,,,1152,,,,1152,1152,,,,,
[0],5688,1061,[0.27138084 0.2483849  0.25170162 0.22853269],[0.28961223 0.24187674 0.23310687 0.2354041 ],[0.25930703 0.25326306 0.26683432 0.2205956 ],,,,,,,,,,,18.0,,,,,,,,,,,,,,,,,22.0,,,,,,,1120,,,,1120,1120,,,,,
[0],5702,1065,[0.2919262  0.24042135 0.24313216 0.22452033],[0.31579158 0.21419065 0.29872063 0.17129713],[0.27296308 0.24651305 0.24765301 0.23287088],,,,,,,,,,,90.0,,,,,,,,,,,,,,,,,52.0,,,2.0,,,,768,,,,768,768,,,,,
[0],5714,1061,[0.2882633  0.2396044  0.2346609  0.23747149],[0.28961223 0.24187674 0.23310687 0.2354041 ],[0.2975197  0.22821839 0.23861945 0.2356424 ],,,,,,,,,,,92.0,,,,,,,,,,,,,2.0,,,,56.0,,,,,,,850,,,,850,850,,,,,
[0],5708,1064,[0.27519226 0.24739228 0.23205163 0.24536388],[0.26639837 0.256873   0.22420037 0.2525283 ],[0.27405208 0.23705292 0.24565066 0.2432443 ],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1088,,,,1088,1088,,,,,
[0],5843,1099,[0.3362765  0.23856275 0.24433652 0.18082425],[0.82291853 0.06063034 0.10464665 0.01180454],[0.3227171  0.21629317 0.21755649 0.24343324],,,16.0,,,,,,,,80.0,,,,,2.0,,,18.0,,,6.0,,2.0,,,,54.0,,,10.0,,,,774,,,,774,774,,,,,
[0],5873,1051,[0.27689373 0.25170675 0.23748706 0.23391247],[0.2731447  0.2547929  0.23922442 0.23283799],[0.2622701  0.2739788  0.24735762 0.21639353],,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,2.0,,,,,,,758,,,,758,758,,,,,
[0],5697,1064,[0.2683148  0.2629145  0.24041975 0.2283509 ],[0.26639837 0.256873   0.22420037 0.2525283 ],[0.2622701  0.2739788  0.24735762 0.21639353],,,,,,,,,,,34.0,,,,,8.0,,,,,,,,,,,,30.0,,,,,,,1152,,,,1152,1152,,,,,
[0],5783,1078,[0.3118548  0.23512226 0.26747194 0.18555103],[0.39413357 0.11826013 0.4409748  0.04663156],[0.31565306 0.24492013 0.28088024 0.15854657],,,8.0,,,,,,,,12.0,,,,,,,,10.0,,,,,4.0,,,,4.0,2.0,,12.0,,,,732,,,,732,732,,,,,
[0],5701,1064,[0.27534804 0.24712873 0.23209707 0.24542615],[0.26639837 0.256873   0.22420037 0.2525283 ],[0.27405208 0.23705292 0.24565066 0.2432443 ],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1088,,,,1088,1088,,,,,
[0],5845,1144,[0.43946496 0.1930556  0.2743303  0.09314914],[9.8531187e-01 1.8278176e-03 1.2831686e-02 2.8650889e-05],[0.42622095 0.14968511 0.36192942 0.06216463],,,42.0,,,,,,,,14.0,,,,,,,,32.0,,,28.0,,,,,,2.0,2.0,,42.0,,,,854,,4.0,,854,854,,,,,
