label,node_idx,number_neighbors,prediction_explain,prediction_full,prediction_explain_binary,abstract,address,author,booktitle,carriedOutBy,carriesOut,chapter,dealtWithIn,edition,editor,fax,financedBy,finances,hasProject,head,homepage,howpublished,isAbout,isWorkedOnBy,isbn,journal,member,month,name,note,number,pages,phone,photo,projectInfo,publication,publishes,series,title,type,volume,worksAtProject,year,type,type,range,subClassOf,allValuesFrom,inverseOf,onProperty
[0],5678,1140,[0.4680338  0.18332879 0.29162404 0.05701341],[9.8646963e-01 5.4700294e-04 1.2982166e-02 1.1929498e-06],[0.48461846 0.1695089  0.27850327 0.06736927],,,50.0,,,,,,,2.0,,,,,,,,,34.0,,,20.0,,2.0,,,,2.0,,,48.0,,,,814,,2.0,,814,814,,,,,
[0],5724,1070,[0.30169657 0.24360901 0.23523714 0.2194573 ],[0.39725292 0.20592682 0.26314494 0.13367526],[0.34295633 0.23815778 0.23227143 0.18661438],,,8.0,,,,,,,,182.0,,,,,34.0,,,,,,,,2.0,,,,90.0,,,4.0,,,,1378,,,,1378,1378,,,,,
[0],5699,1064,[0.26690698 0.25442606 0.23198429 0.24668269],[0.26639837 0.256873   0.22420037 0.2525283 ],[0.2741309  0.24277423 0.22988711 0.25320777],,,,,,,,,,,198.0,,,,,36.0,,,,,,,,2.0,,,,108.0,,,,,,,1488,,,,1488,1488,,,,,
[0],5688,1061,[0.2858608  0.24352056 0.23564547 0.23497327],[0.28961223 0.24187674 0.23310687 0.2354041 ],[0.30200055 0.23731732 0.21932699 0.24135521],,,,,,,,,,,186.0,,,,,,,,,,,,,2.0,,,,96.0,,,,,,,1390,,,,1390,1390,,,,,
[0],5702,1065,[0.2909517  0.24597704 0.23909172 0.22397956],[0.31579158 0.21419065 0.29872063 0.17129713],[0.2758697  0.26647145 0.2293997  0.22825916],,,4.0,,,,,,,,180.0,,,,,,,,,,,,,,,,,96.0,,,2.0,,,,1352,,,,1352,1352,,,,,
[0],5714,1061,[0.2887686  0.24540794 0.22984925 0.23597422],[0.28961223 0.24187674 0.23310687 0.2354041 ],[0.300871   0.2468459  0.2211666  0.23111652],,,,,,,,,,,188.0,,,,,,,,,,,,,2.0,,,,96.0,,,,,,,1390,,,,1390,1390,,,,,
[0],5708,1064,[0.26994503 0.2590505  0.22243641 0.24856806],[0.26639837 0.256873   0.22420037 0.2525283 ],[0.27687928 0.26226825 0.21281205 0.24804042],,,,,,,,,,,198.0,,,,,36.0,,,,,,,,2.0,,,,108.0,,,,,,,1488,,,,1488,1488,,,,,
[0],5843,1099,[0.35576218 0.23245105 0.24130003 0.17048682],[0.82291853 0.06063034 0.10464665 0.01180454],[0.4119807  0.19529109 0.22748761 0.16524057],,,20.0,,,,,,,,160.0,,,,,2.0,,,22.0,,,16.0,,2.0,,,,80.0,,,18.0,,,,1160,,4.0,,1160,1160,,,,,
[0],5873,1051,[0.2806661  0.24761833 0.2351138  0.23660173],[0.2731447  0.2547929  0.23922442 0.23283799],[0.30200055 0.23731732 0.21932699 0.24135521],,,,,,,,,,,8.0,,,,,,,,,,,,,2.0,,,,2.0,,,,,,,842,,,,842,842,,,,,
[0],5697,1064,[0.2733424  0.25659654 0.22869292 0.24136811],[0.26639837 0.256873   0.22420037 0.2525283 ],[0.30200055 0.23731732 0.21932699 0.24135521],,,,,,,,,,,198.0,,,,,36.0,,,,,,,,2.0,,,,108.0,,,,,,,1488,,,,1488,1488,,,,,
