label,node_idx,number_neighbors,prediction_explain,prediction_full,prediction_explain_binary,abstract,address,author,booktitle,carriedOutBy,carriesOut,chapter,dealtWithIn,edition,editor,fax,financedBy,finances,hasProject,head,homepage,howpublished,isAbout,isWorkedOnBy,isbn,journal,member,month,name,note,number,pages,phone,photo,projectInfo,publication,publishes,series,title,type,volume,worksAtProject,year,type,type,range,subClassOf,allValuesFrom,inverseOf,onProperty
[0],5678,1140,[0.26382053 0.2635561  0.23437728 0.23824605],[9.8646963e-01 5.4700294e-04 1.2982166e-02 1.1929498e-06],[0.27296308 0.24651305 0.24765301 0.23287088],,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,2.0,,,,2.0,2.0,,,,,
[0],5724,1070,[0.29444644 0.25055698 0.24534161 0.20965497],[0.39725292 0.20592682 0.26314494 0.13367526],[0.27296308 0.24651305 0.24765301 0.23287088],,,,,,,,,,,2.0,,,,,2.0,,,,,,,,,,,,,,,,,,,4.0,,,,4.0,4.0,,,,,
[0],5699,1064,[0.28226942 0.24554694 0.22079818 0.25138542],[0.26639837 0.256873   0.22420037 0.2525283 ],[0.27296308 0.24651305 0.24765301 0.23287088],,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,2.0,2.0,,,,,
[0],5688,1061,[0.27298483 0.24650657 0.24763075 0.23287785],[0.28961223 0.24187674 0.23310687 0.2354041 ],[0.27296308 0.24651305 0.24765301 0.23287088],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,6.0,6.0,,,,,
[0],5702,1065,[0.27924663 0.25507107 0.248047   0.21763524],[0.31579158 0.21419065 0.29872063 0.17129713],[0.27296308 0.24651305 0.24765301 0.23287088],,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,4.0,4.0,,,,,
[0],5714,1061,[0.27447465 0.25594455 0.23882914 0.23075165],[0.28961223 0.24187674 0.23310687 0.2354041 ],[0.27296308 0.24651305 0.24765301 0.23287088],,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,6.0,6.0,,,,,
[0],5708,1064,[0.28182465 0.2500878  0.22191206 0.24617538],[0.26639837 0.256873   0.22420037 0.2525283 ],[0.27296308 0.24651305 0.24765301 0.23287088],,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,2.0,2.0,,,,,
[0],5843,1099,[0.29208365 0.2606513  0.25255945 0.19470559],[0.82291853 0.06063034 0.10464665 0.01180454],[0.27296308 0.24651305 0.24765301 0.23287088],,,,,,,,,,,2.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
[0],5873,1051,[0.27297252 0.24651621 0.24763551 0.23287578],[0.2731447  0.2547929  0.23922442 0.23283799],[0.27296308 0.24651305 0.24765301 0.23287088],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,,,,14.0,14.0,,,,,
[0],5697,1064,[0.29150742 0.23405543 0.2342333  0.24020378],[0.26639837 0.256873   0.22420037 0.2525283 ],[0.27296308 0.24651305 0.24765301 0.23287088],,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,2.0,2.0,,,,,
[0],5783,1078,[0.27302396 0.24649727 0.24768595 0.23279285],[0.39413357 0.11826013 0.4409748  0.04663156],[0.27296308 0.24651305 0.24765301 0.23287088],,,11.0,,,,,,,,16.0,,,,,,,,15.0,,,,,2.0,,,,3.0,1.0,,11.0,,,,1045.0,,,,1045.0,1045.0,,,,,
[0],5701,1064,[0.281714   0.2502787  0.22176796 0.2462393 ],[0.26639837 0.256873   0.22420037 0.2525283 ],[0.27296308 0.24651305 0.24765301 0.23287088],,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,2.0,2.0,,,,,
[0],5845,1144,[0.2817524  0.24658021 0.25089625 0.2207711 ],[9.8531187e-01 1.8278176e-03 1.2831686e-02 2.8650889e-05],[0.27296308 0.24651305 0.24765301 0.23287088],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,2.0,2.0,,,,,
[0],5778,1102,[0.30098513 0.23549125 0.27315646 0.19036722],[0.761623   0.031212   0.19649462 0.01067041],[0.27296308 0.24651305 0.24765301 0.23287088],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,4.0,4.0,,,,,
[1],5731,1120,[0.24949431 0.32914966 0.24786575 0.17349023],[1.1364882e-05 9.9985659e-01 1.3180358e-04 2.2794679e-07],[0.27296308 0.24651305 0.24765301 0.23287088],,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,2.0,,,,2.0,,,,2.0,2.0,,,,,
[1],5905,1056,[0.27556008 0.26423097 0.23143096 0.22877795],[0.15494749 0.54743814 0.21439601 0.08321825],[0.2758697  0.26647145 0.2293997  0.22825916],,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,28.0,,,,28.0,28.0,,,,,
[1],5808,1103,[0.2737152  0.25647065 0.24681132 0.22300294],[0.33454943 0.45557433 0.18355651 0.02631968],[0.27296308 0.24651305 0.24765301 0.23287088],,,,,,,,,,,2.0,,,,,,,,,,,2.0,,,,,,,,,,,,,4.0,,,,4.0,4.0,,,,,
