label,node_idx,abstract,address,author,booktitle,carriedOutBy,carriesOut,chapter,dealtWithIn,edition,editor,fax,financedBy,finances,hasProject,head,homepage,howpublished,isAbout,isWorkedOnBy,isbn,journal,member,month,name,note,number,pages,phone,photo,projectInfo,publication,publishes,series,title,type,volume,worksAtProject,year,type,type,range,subClassOf,allValuesFrom,inverseOf,onProperty,number neighbors,prediction explain,prediction full
0,5678,,,6.0,,1.0,1.0,,5.0,,1.0,1.0,,,3.0,,,,5.0,4.0,,,3.0,,,,,,,1.0,3.0,9.0,10.0,,,1.0,,,,1.0,1.0,,,,,,78,[0.1263654  0.19601932 0.38649786 0.29111746],[3.9196237e-07 4.8156092e-03 1.9147925e-02 9.7603601e-01]
0,5724,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,1.0,1.0,,,,,,78,[0.1263654  0.19601932 0.38649786 0.29111746],[3.9196237e-07 4.8156092e-03 1.9147925e-02 9.7603601e-01]
0,5699,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,78,[0.1263654  0.19601932 0.38649786 0.29111746],[3.9196237e-07 4.8156092e-03 1.9147925e-02 9.7603601e-01]
0,5688,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,78,[0.1263654  0.19601932 0.38649786 0.29111746],[3.9196237e-07 4.8156092e-03 1.9147925e-02 9.7603601e-01]
0,5702,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,78,[0.1263654  0.19601932 0.38649786 0.29111746],[3.9196237e-07 4.8156092e-03 1.9147925e-02 9.7603601e-01]
0,5714,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,78,[0.1263654  0.19601932 0.38649786 0.29111746],[3.9196237e-07 4.8156092e-03 1.9147925e-02 9.7603601e-01]
0,5708,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,78,[0.1263654  0.19601932 0.38649786 0.29111746],[3.9196237e-07 4.8156092e-03 1.9147925e-02 9.7603601e-01]
0,5843,,,4.0,,,,,1.0,,,1.0,,,2.0,,,,6.0,3.0,,,,,1.0,,,,1.0,,1.0,2.0,,,,,,,,,,,,,,,78,[0.1263654  0.19601932 0.38649786 0.29111746],[3.9196237e-07 4.8156092e-03 1.9147925e-02 9.7603601e-01]
0,5873,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78,[0.1263654  0.19601932 0.38649786 0.29111746],[3.9196237e-07 4.8156092e-03 1.9147925e-02 9.7603601e-01]
0,5697,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,78,[0.1263654  0.19601932 0.38649786 0.29111746],[3.9196237e-07 4.8156092e-03 1.9147925e-02 9.7603601e-01]
