2023-05-03 19:36:51,441 INFO    MainThread:75227 [wandb_setup.py:_flush():76] Current SDK version is 0.15.1
2023-05-03 19:36:51,442 INFO    MainThread:75227 [wandb_setup.py:_flush():76] Configure stats pid to 75227
2023-05-03 19:36:51,442 INFO    MainThread:75227 [wandb_setup.py:_flush():76] Loading settings from /Users/macoftraopia/.config/wandb/settings
2023-05-03 19:36:51,442 INFO    MainThread:75227 [wandb_setup.py:_flush():76] Loading settings from /Users/macoftraopia/Documents/GitHub/RGCN-Explainer/wandb/settings
2023-05-03 19:36:51,442 INFO    MainThread:75227 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2023-05-03 19:36:51,442 INFO    MainThread:75227 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2023-05-03 19:36:51,442 INFO    MainThread:75227 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'RGCN_stuff/r_exp.py', 'program': '/Users/macoftraopia/Documents/GitHub/RGCN-Explainer/RGCN_stuff/r_exp.py'}
2023-05-03 19:36:51,442 INFO    MainThread:75227 [wandb_init.py:_log_setup():507] Logging user logs to /Users/macoftraopia/Documents/GitHub/RGCN-Explainer/wandb/offline-run-20230503_193651-gdc32sv9/logs/debug.log
2023-05-03 19:36:51,442 INFO    MainThread:75227 [wandb_init.py:_log_setup():508] Logging internal logs to /Users/macoftraopia/Documents/GitHub/RGCN-Explainer/wandb/offline-run-20230503_193651-gdc32sv9/logs/debug-internal.log
2023-05-03 19:36:51,442 INFO    MainThread:75227 [wandb_init.py:init():547] calling init triggers
2023-05-03 19:36:51,442 INFO    MainThread:75227 [wandb_init.py:init():554] wandb.init called with sweep_config: {}
config: {'learning_rate': 0.01, 'epochs': 5}
2023-05-03 19:36:51,442 INFO    MainThread:75227 [wandb_init.py:init():596] starting backend
2023-05-03 19:36:51,442 INFO    MainThread:75227 [wandb_init.py:init():600] setting up manager
2023-05-03 19:36:51,448 INFO    MainThread:75227 [backend.py:_multiprocessing_setup():106] multiprocessing start_methods=spawn,fork,forkserver, using: spawn
2023-05-03 19:36:51,457 INFO    MainThread:75227 [wandb_init.py:init():606] backend started and connected
2023-05-03 19:36:51,463 INFO    MainThread:75227 [wandb_init.py:init():700] updated telemetry
2023-05-03 19:36:51,498 INFO    MainThread:75227 [wandb_init.py:init():787] starting run threads in backend
2023-05-03 19:37:02,011 INFO    MainThread:75227 [wandb_run.py:_console_start():2158] atexit reg
2023-05-03 19:37:02,011 INFO    MainThread:75227 [wandb_run.py:_redirect():2013] redirect: SettingsConsole.WRAP_RAW
2023-05-03 19:37:02,013 INFO    MainThread:75227 [wandb_run.py:_redirect():2078] Wrapping output streams.
2023-05-03 19:37:02,013 INFO    MainThread:75227 [wandb_run.py:_redirect():2103] Redirects installed.
2023-05-03 19:37:02,014 INFO    MainThread:75227 [wandb_init.py:init():829] run started, returning control to user process
