2023-05-02 12:44:27,798 INFO    MainThread:88938 [wandb_setup.py:_flush():76] Configure stats pid to 88938
2023-05-02 12:44:27,801 INFO    MainThread:88938 [wandb_setup.py:_flush():76] Loading settings from /Users/macoftraopia/.config/wandb/settings
2023-05-02 12:44:27,801 INFO    MainThread:88938 [wandb_setup.py:_flush():76] Loading settings from /Users/macoftraopia/Documents/GitHub/RGCN-Explainer/wandb/settings
2023-05-02 12:44:27,802 INFO    MainThread:88938 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2023-05-02 12:44:27,802 INFO    MainThread:88938 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2023-05-02 12:44:27,802 INFO    MainThread:88938 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'RGCN_stuff/r.py', 'program': '/Users/macoftraopia/Documents/GitHub/RGCN-Explainer/RGCN_stuff/r.py'}
2023-05-02 12:44:27,802 INFO    MainThread:88938 [wandb_init.py:_log_setup():507] Logging user logs to /Users/macoftraopia/Documents/GitHub/RGCN-Explainer/wandb/run-20230502_124427-9dab7ee1/logs/debug.log
2023-05-02 12:44:27,803 INFO    MainThread:88938 [wandb_init.py:_log_setup():508] Logging internal logs to /Users/macoftraopia/Documents/GitHub/RGCN-Explainer/wandb/run-20230502_124427-9dab7ee1/logs/debug-internal.log
2023-05-02 12:44:27,803 INFO    MainThread:88938 [wandb_init.py:init():547] calling init triggers
2023-05-02 12:44:27,803 INFO    MainThread:88938 [wandb_init.py:init():554] wandb.init called with sweep_config: {}
config: {'pred': 1, 'size': -10, 'feat_size': 1.0, 'ent': 1, 'feat_ent': 0.1, 'grad': 1, 'lap': 1.0, 'size_num': 1, 'lr': 0.5}
2023-05-02 12:44:27,804 INFO    MainThread:88938 [wandb_init.py:init():590] wandb.init() called when a run is still active
