2023-05-03 15:02:54,915 INFO    MainThread:23261 [wandb_setup.py:_flush():76] Current SDK version is 0.15.1
2023-05-03 15:02:54,916 INFO    MainThread:23261 [wandb_setup.py:_flush():76] Configure stats pid to 23261
2023-05-03 15:02:54,916 INFO    MainThread:23261 [wandb_setup.py:_flush():76] Loading settings from /Users/macoftraopia/.config/wandb/settings
2023-05-03 15:02:54,916 INFO    MainThread:23261 [wandb_setup.py:_flush():76] Loading settings from /Users/macoftraopia/Documents/GitHub/RGCN-Explainer/wandb/settings
2023-05-03 15:02:54,916 INFO    MainThread:23261 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2023-05-03 15:02:54,916 INFO    MainThread:23261 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2023-05-03 15:02:54,916 INFO    MainThread:23261 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'RGCN_stuff/r_exp.py', 'program': '/Users/macoftraopia/Documents/GitHub/RGCN-Explainer/RGCN_stuff/r_exp.py'}
2023-05-03 15:02:54,916 INFO    MainThread:23261 [wandb_init.py:_log_setup():507] Logging user logs to /Users/macoftraopia/Documents/GitHub/RGCN-Explainer/wandb/run-20230503_150254-b0ocwupr/logs/debug.log
2023-05-03 15:02:54,916 INFO    MainThread:23261 [wandb_init.py:_log_setup():508] Logging internal logs to /Users/macoftraopia/Documents/GitHub/RGCN-Explainer/wandb/run-20230503_150254-b0ocwupr/logs/debug-internal.log
2023-05-03 15:02:54,916 INFO    MainThread:23261 [wandb_init.py:init():547] calling init triggers
2023-05-03 15:02:54,916 INFO    MainThread:23261 [wandb_init.py:init():554] wandb.init called with sweep_config: {}
config: {'learning_rate': 0.01, 'epochs': 5}
2023-05-03 15:02:54,916 INFO    MainThread:23261 [wandb_init.py:init():596] starting backend
2023-05-03 15:02:54,916 INFO    MainThread:23261 [wandb_init.py:init():600] setting up manager
2023-05-03 15:02:54,919 INFO    MainThread:23261 [backend.py:_multiprocessing_setup():106] multiprocessing start_methods=spawn,fork,forkserver, using: spawn
2023-05-03 15:02:54,928 INFO    MainThread:23261 [wandb_init.py:init():606] backend started and connected
2023-05-03 15:02:54,933 INFO    MainThread:23261 [wandb_init.py:init():700] updated telemetry
2023-05-03 15:02:54,971 INFO    MainThread:23261 [wandb_init.py:init():737] communicating run to backend with 60.0 second timeout
2023-05-03 15:02:55,460 INFO    MainThread:23261 [wandb_run.py:_on_init():2177] communicating current version
2023-05-03 15:02:55,568 INFO    MainThread:23261 [wandb_run.py:_on_init():2186] got version response 
2023-05-03 15:02:55,568 INFO    MainThread:23261 [wandb_init.py:init():787] starting run threads in backend
2023-05-03 15:03:03,917 INFO    MainThread:23261 [wandb_run.py:_console_start():2158] atexit reg
2023-05-03 15:03:03,917 INFO    MainThread:23261 [wandb_run.py:_redirect():2013] redirect: SettingsConsole.WRAP_RAW
2023-05-03 15:03:03,917 INFO    MainThread:23261 [wandb_run.py:_redirect():2078] Wrapping output streams.
2023-05-03 15:03:03,918 INFO    MainThread:23261 [wandb_run.py:_redirect():2103] Redirects installed.
2023-05-03 15:03:03,919 INFO    MainThread:23261 [wandb_init.py:init():829] run started, returning control to user process
